"item Category ","Ory. ","Basic seeing PicelINiU ","SGST AMt IINRI ","CGST AMI (INRI ","IGST AMt IINR ","lnvoice Value (INRI ",
"Bottom ","19.000 ","14468. 88 ","361.76 ","361.76 ","0.00 ","15192.40 ",
"Total ","19.00 ","14468.8 ","361.76 ","361.76 ","0.00 ","15192.40 ",
